rating,rating_id,description
18+ (TV-MA),1,Для взрослой аудитории (18+) — объединены TV-MA и NC-17
G (для всей семьи),2,Для всей семьи
PG (родительский контроль),3,Рекомендуется родительский контроль
PG-13 (13+),4,Детям до 13 лет не рекомендуется
R (17+),5,До 17 лет только с сопровождающим
TV-14 (14+),6,Детям до 14 лет не рекомендуется
TV-G (общая аудитория),7,Для общей аудитории
TV-PG (родительский контроль),8,Рекомендуется родительский контроль
TV-Y (для малышей),9,Для самых маленьких
TV-Y7 (7+),10,Для детей от 7 лет
Без рейтинга,11,"Без рейтинга (NR, UR, Unknown, TV-Y7-FV)"
