date_added,date_id,year,month,month_name,day,day_of_week,day_name,quarter
2008-01-01,1,2008,1,January,1,1,Tuesday,1
2008-02-04,2,2008,2,February,4,0,Monday,1
2009-05-05,3,2009,5,May,5,1,Tuesday,2
2009-11-18,4,2009,11,November,18,2,Wednesday,4
2010-11-01,5,2010,11,November,1,0,Monday,4
2011-05-17,6,2011,5,May,17,1,Tuesday,2
2011-09-27,7,2011,9,September,27,1,Tuesday,3
2011-10-01,8,2011,10,October,1,5,Saturday,4
2012-02-21,9,2012,2,February,21,1,Tuesday,1
2012-11-14,10,2012,11,November,14,2,Wednesday,4
2012-12-01,11,2012,12,December,1,5,Saturday,4
2013-03-31,12,2013,3,March,31,6,Sunday,1
2013-08-02,13,2013,8,August,2,4,Friday,3
2013-09-01,14,2013,9,September,1,6,Sunday,3
2013-10-08,15,2013,10,October,8,1,Tuesday,4
2013-10-14,16,2013,10,October,14,0,Monday,4
2013-11-01,17,2013,11,November,1,4,Friday,4
2013-12-12,18,2013,12,December,12,3,Thursday,4
2013-12-29,19,2013,12,December,29,6,Sunday,4
2014-01-17,20,2014,1,January,17,4,Friday,1
2014-01-24,21,2014,1,January,24,4,Friday,1
2014-02-01,22,2014,2,February,1,5,Saturday,1
2014-02-16,23,2014,2,February,16,6,Sunday,1
2014-04-01,24,2014,4,April,1,1,Tuesday,2
2014-04-15,25,2014,4,April,15,1,Tuesday,2
2014-06-15,26,2014,6,June,15,6,Sunday,2
2014-07-11,27,2014,7,July,11,4,Friday,3
2014-08-15,28,2014,8,August,15,4,Friday,3
2014-09-26,29,2014,9,September,26,4,Friday,3
2014-10-10,30,2014,10,October,10,4,Friday,4
2014-10-12,31,2014,10,October,12,6,Sunday,4
2014-10-21,32,2014,10,October,21,1,Tuesday,4
2014-10-24,33,2014,10,October,24,4,Friday,4
2014-11-07,34,2014,11,November,7,4,Friday,4
2014-11-14,35,2014,11,November,14,4,Friday,4
2014-11-19,36,2014,11,November,19,2,Wednesday,4
2014-11-21,37,2014,11,November,21,4,Friday,4
2014-12-05,38,2014,12,December,5,4,Friday,4
2014-12-12,39,2014,12,December,12,4,Friday,4
2014-12-17,40,2014,12,December,17,2,Wednesday,4
2014-12-18,41,2014,12,December,18,3,Thursday,4
2014-12-19,42,2014,12,December,19,4,Friday,4
2015-01-23,43,2015,1,January,23,4,Friday,1
2015-02-01,44,2015,2,February,1,6,Sunday,1
2015-02-13,45,2015,2,February,13,4,Friday,1
2015-02-15,46,2015,2,February,15,6,Sunday,1
2015-02-27,47,2015,2,February,27,4,Friday,1
2015-03-06,48,2015,3,March,6,4,Friday,1
2015-03-15,49,2015,3,March,15,6,Sunday,1
2015-03-22,50,2015,3,March,22,6,Sunday,1
2015-04-16,51,2015,4,April,16,3,Thursday,2
2015-04-17,52,2015,4,April,17,4,Friday,2
2015-04-22,53,2015,4,April,22,2,Wednesday,2
2015-05-10,54,2015,5,May,10,6,Sunday,2
2015-05-17,55,2015,5,May,17,6,Sunday,2
2015-05-22,56,2015,5,May,22,4,Friday,2
2015-05-29,57,2015,5,May,29,4,Friday,2
2015-05-31,58,2015,5,May,31,6,Sunday,2
2015-06-01,59,2015,6,June,1,0,Monday,2
2015-06-15,60,2015,6,June,15,0,Monday,2
2015-06-23,61,2015,6,June,23,1,Tuesday,2
2015-06-26,62,2015,6,June,26,4,Friday,2
2015-06-29,63,2015,6,June,29,0,Monday,2
2015-06-30,64,2015,6,June,30,1,Tuesday,2
2015-07-07,65,2015,7,July,7,1,Tuesday,3
2015-07-10,66,2015,7,July,10,4,Friday,3
2015-07-14,67,2015,7,July,14,1,Tuesday,3
2015-07-15,68,2015,7,July,15,2,Wednesday,3
2015-07-17,69,2015,7,July,17,4,Friday,3
2015-07-31,70,2015,7,July,31,4,Friday,3
2015-08-05,71,2015,8,August,5,2,Wednesday,3
2015-08-14,72,2015,8,August,14,4,Friday,3
2015-09-02,73,2015,9,September,2,2,Wednesday,3
2015-09-08,74,2015,9,September,8,1,Tuesday,3
2015-09-15,75,2015,9,September,15,1,Tuesday,3
2015-09-18,76,2015,9,September,18,4,Friday,3
2015-09-22,77,2015,9,September,22,1,Tuesday,3
2015-09-29,78,2015,9,September,29,1,Tuesday,3
2015-10-01,79,2015,10,October,1,3,Thursday,4
2015-10-02,80,2015,10,October,2,4,Friday,4
2015-10-09,81,2015,10,October,9,4,Friday,4
2015-10-10,82,2015,10,October,10,5,Saturday,4
2015-10-14,83,2015,10,October,14,2,Wednesday,4
2015-10-16,84,2015,10,October,16,4,Friday,4
2015-10-22,85,2015,10,October,22,3,Thursday,4
2015-10-23,86,2015,10,October,23,4,Friday,4
2015-10-25,87,2015,10,October,25,6,Sunday,4
2015-10-27,88,2015,10,October,27,1,Tuesday,4
